"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA67247","N_Can",-35.0907835296266,149.300917914318,"2016","u","SA",40.7,3.94,"Tympanocryptis lineata"
"AA61565","W_Can",-35.4385890944982,149.055084028443,"2016","M","A",66.1,6.36,"Tympanocryptis lineata"
"AA67255","N_Can",-35.07584157647,149.277628669087,"2016","u","J",21.2,3.98,"Tympanocryptis lineata"
"AA14532","W_Can",-35.4636575805062,149.040930881167,"2006","F","A",76.8,5.63,"Tympanocryptis lineata"
"AA67461","E_Can",-35.449870282329,149.213471135164,"2018","","SA",44.2,3.97,"Tympanocryptis lineata"
"AA83361","E_Can",-35.4292341186387,149.234771478787,"2020","F","A",79.7,6.19,"Tympanocryptis lineata"
"AA83350","E_Can",-35.4572789908723,149.238943001911,"2020","M","A",74.8,5.22,"Tympanocryptis lineata"
"AA14943","N_Can",-35.0862904930727,149.302269959159,"2010",NA,"J",20.6,2.77,"Tympanocryptis lineata"
"AA14596","W_Can",-35.44617732397,149.035619212946,"2007","F","A",58.2,5.05,"Tympanocryptis lineata"
"AA14810","W_Can",-35.4416131140197,149.06003888014,"2008","J","J",27,3.1,"Tympanocryptis lineata"
"AA67497","E_Can",-35.4256382688284,149.222554710032,"2018","","SA",47.6,3.51,"Tympanocryptis lineata"
"AA67249","N_Can",-35.0826640651357,149.288767984051,"2016","M","A",68.4,5.79,"Tympanocryptis lineata"
"AA14948","W_Can",-35.4415507325225,149.058808037869,"2010","J","",NA,NA,"Tympanocryptis lineata"
"AA67277","W_Can",-35.451910811001,149.025943409385,"2016","M","SA",38.2,4.63,"Tympanocryptis lineata"
"AA67433","E_Can",-35.4512068750782,149.224256928477,"2018","","J",37.3,3.13,"Tympanocryptis lineata"
"AA67466","E_Can",-35.4451721507654,149.259578567627,"2018","","SA",43.8,4.05,"Tympanocryptis lineata"
"AA14539","W_Can",-35.4315831313469,149.046630855832,"2006","M","A",73,5.36,"Tympanocryptis lineata"
"AA61560","N_Can",-35.0780490194884,149.293884871112,"2016","M","A",82.4,5.6,"Tympanocryptis lineata"
"AA14594","N_Can",-35.0845604251913,149.29696871946,"2007","F?","SA",40.2,3.67,"Tympanocryptis lineata"
"AA14941","N_Can",-35.0968932076666,149.291736877616,"2010",NA,"J",22.8,2.84,"Tympanocryptis lineata"
"AA14974","W_Can",-35.4312330857612,149.044838462689,"2009","J","J",37.2,3.36,"Tympanocryptis lineata"
"AA14889","W_Can",-35.4512995604959,149.034155519692,"2009","M","A",75.3,6.05,"Tympanocryptis lineata"
"AA14535","W_Can",-35.4540012755404,149.036792602721,"2006","M","A",79.7,6.03,"Tympanocryptis lineata"
"AA67251","N_Can",-35.0782627949277,149.2859136604,"2016","u","J",20.7,2.7,"Tympanocryptis lineata"
"AA14922","N_Can",-35.087191119288,149.295066953898,"2009","F","A",52.6,5.64,"Tympanocryptis lineata"
"AA67273","W_Can",-35.4338875847794,149.061904210023,"2016","F","A",76.6,6.84,"Tympanocryptis lineata"
"AA67495","E_Can",-35.4379519326593,149.23251363487,"2018","","A",73,5.61,"Tympanocryptis lineata"
"AA67429","E_Can",-35.4379437803157,149.217835372107,"2018","","A",57.6,5.16,"Tympanocryptis lineata"
"AA67187","N_Can",-35.0764263054452,149.30247094006,"2016","u","J",27.6,3.22,"Tympanocryptis lineata"
"AA14414","W_Can",-35.4390807960635,149.044617617483,"2006","M?","A",82.6,6.23,"Tympanocryptis lineata"
"AA14801","N_Can",-35.0783551634237,149.297401783199,"2007","F","A",60.6,5.46,"Tympanocryptis lineata"
"AA14807","N_Can",-35.0689140057496,149.304122536647,"2008",NA,"J",23.2,2.18,"Tympanocryptis lineata"
"AA14937","N_Can",-35.0800294313632,149.278674425332,"2010",NA,"J",30.3,2.15,"Tympanocryptis lineata"
"AA14835","W_Can",-35.4380838318954,149.028709426946,"2008","F","SA",44.7,4.8,"Tympanocryptis lineata"
"AA14547","W_Can",-35.4286572429023,149.047285744687,"2006","M","SA",41.2,5.08,"Tympanocryptis lineata"
"AA14968","W_Can",-35.4440625944999,149.024177760603,"2012","F","",NA,NA,"Tympanocryptis lineata"
"AA14961","W_Can",-35.4333376072279,149.040187163498,"2011","M","",NA,NA,"Tympanocryptis lineata"
"AA67506","E_Can",-35.4481826311631,149.237556287116,"2018","M","SA",40.2,4.75,"Tympanocryptis lineata"
"AA14540","W_Can",-35.4417536563421,149.061133887163,"2006","M","SA",38.7,4.03,"Tympanocryptis lineata"
"AA14431","W_Can",-35.4334651853322,149.040336486769,"2006",NA,"A",72.4,5.36,"Tympanocryptis lineata"
"AA83348","E_Can",-35.4472492926105,149.242112589466,"2020","F","A",65,5.78,"Tympanocryptis lineata"
"AA14573","N_Can",-35.0724463366045,149.311555039394,"2007","F","A",65.4,5.39,"Tympanocryptis lineata"
"AA14583","N_Can",-35.0724283615858,149.292588657807,"2007",NA,"J",22.3,2.7,"Tympanocryptis lineata"
"AA14577","W_Can",-35.4450308283001,149.053069187023,"2007","J","J",23.3,2.94,"Tympanocryptis lineata"
"AA14913","W_Can",-35.4365004854498,149.061700684038,"2009","M","A",48,6.39,"Tympanocryptis lineata"
"AA67518","E_Can",-35.4520927831924,149.22606850205,"2018","M","SA",44.7,3.07,"Tympanocryptis lineata"
"AA14991","W_Can",-35.4359551846686,149.041924364282,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA67246","N_Can",-35.0872502729865,149.284630498664,"2016","M","A",84.7,5.24,"Tympanocryptis lineata"
"AA67430","E_Can",-35.4454892419741,149.228903444541,"2018","","A",52.6,6.37,"Tympanocryptis lineata"
"AA14362","W_Can",-35.4446615911116,149.039106473824,"2006","M?","A",55.6,5.99,"Tympanocryptis lineata"
"AA14565","W_Can",-35.4492381845062,149.037941905896,"2006","F","A",61.2,5.55,"Tympanocryptis lineata"
"AA14534","W_Can",-35.4385628608045,149.061612677345,"2006","F","A",48.7,4.73,"Tympanocryptis lineata"
"AA14588","W_Can",-35.4533885026928,149.049558790586,"2007","J","J",32.8,2.71,"Tympanocryptis lineata"
"AA14895","W_Can",-35.4413821989458,149.042261386543,"2009","J","J",23.5,2.82,"Tympanocryptis lineata"
"AA14578","W_Can",-35.449717148354,149.046226870797,"2007","J","J",29,3.47,"Tympanocryptis lineata"
"AA14899","W_Can",-35.4512189280378,149.037152959126,"2009","J","J",37,2.33,"Tympanocryptis lineata"
"AA67279","N_Can",-35.0882712523715,149.289434820746,"2016","F","A",63.6,5.49,"Tympanocryptis lineata"
"AA67175","N_Can",-35.1009307383652,149.291574495039,"2016","U","J",23.4,3.05,"Tympanocryptis lineata"
"AA099092","E_Can",-35.4376398947814,149.25034621174,"2021",NA,"J",27.8,2.84,"Tympanocryptis lineata"
"AA099101","E_Can",-35.4333896852758,149.242293971041,"2021",NA,"SA",42.5,4.09,"Tympanocryptis lineata"
"AA67358","S_Can",-35.4998469102681,149.182690963191,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67304","S_Can",-35.4931966138266,149.171241349745,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67257","N_Can",-35.0793476799151,149.281819729261,"2016","u","J",30.4,2.62,"Tympanocryptis lineata"
"AA099093","E_Can",-35.4446419516728,149.214877015111,"2021","M","SA",39,3.92,"Tympanocryptis lineata"
"AA083357","E_Can",-35.4342369561635,149.235268051439,"2021","U","J",26.3,2.34,"Tympanocryptis lineata"
"AA083366","S_Can",-35.5165048785788,149.182463361762,"2021","U","A",71.7,6.3,"Tympanocryptis lineata"
"AA67353","S_Can",-35.4944736791269,149.187777021299,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67305","S_Can",-35.5033510898163,149.174373800296,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67312","S_Can",-35.4986998160712,149.182292375828,"2016","U","J",27.8,2.8,"Tympanocryptis lineata"
"AA099502","E_Can",-35.440297852855,149.224900063421,"2021","F","A",49.3,5.27,"Tympanocryptis lineata"
"AA083358","E_Can",-35.4598183934206,149.246812316655,"2021","U","J",32,3.3,"Tympanocryptis lineata"
"AA67306","S_Can",-35.5048646671902,149.191286397592,"2016","U","SA",38.8,3.54,"Tympanocryptis lineata"
"AA099094","E_Can",-35.4393654505641,149.223963782464,"2021","M","A",80.8,5.9,"Tympanocryptis lineata"
"AA083363","E_Can",-35.4538631102276,149.224354443758,"2021","U","J",37,3.04,"Tympanocryptis lineata"
"AA67356","S_Can",-35.5033952861107,149.176851456416,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67309","S_Can",-35.5074518485948,149.179681736405,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67470","N_Can",-35.0959093927191,149.280133099971,"2018","U","J",36.5,3.23,"Tympanocryptis lineata"
"AA099095","E_Can",-35.4548291102951,149.238782457028,"2021","M","A",76.7,5.46,"Tympanocryptis lineata"
"AA67361","S_Can",-35.5018668198305,149.188983905341,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA67188","N_Can",-35.0626945342944,149.288509344478,"2016","U","J",23.2,3.06,"Tympanocryptis lineata"
"AA67311","S_Can",-35.5051439850085,149.186551597111,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA083335","S_Can",-35.513703965562,149.179883970591,"2020","M","A",78.7,5.35,"Tympanocryptis lineata"
"AA099097","E_Can",-35.4476291544686,149.234133732958,"2021",NA,"A",64.4,5.27,"Tympanocryptis lineata"
"AA67258","N_Can",-35.0969997906572,149.306147447491,"2016","u","SA",44,4.23,"Tympanocryptis lineata"
"AA67316","S_Can",-35.4896593631714,149.181517401772,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA099090","E_Can",-35.4352654587052,149.233208754313,"2021",NA,"J",37.3,3.71,"Tympanocryptis lineata"
"AA099098","E_Can",-35.431294487123,149.210104475089,"2021",NA,"A",60,4.59,"Tympanocryptis lineata"
