"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA24463","Kowen",-35.3286020055813,149.333480842742,"2016","M","SA",43.2,3.12,"Tympanocryptis lineata"
"AA24567","Googong",-35.4600757568434,149.238474074487,"2020","",NA,NA,NA,"Tympanocryptis lineata"
"AA24228","Tuggeranong",-35.433572887808,149.04309499673,"2009","M","A",55.1,7.07,"Tympanocryptis lineata"
"AA24181","Tuggeranong",-35.4504161396699,149.029817105927,"2008","M","A",50,4.8,"Tympanocryptis lineata"
"AA24279","Tuggeranong",-35.4449078096983,149.042834646341,"2010","M","A",50.7,6.3,"Tympanocryptis lineata"
"AA24229","Tuggeranong",-35.4480349401984,149.0451100463,"2009","F","SA",44.5,3.38,"Tympanocryptis lineata"
"AA24464","Kowen",-35.3254408453745,149.333538890037,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24465","Kowen",-35.3377754879561,149.332032829201,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24230","Tuggeranong",-35.4535086036244,149.060844763645,"2009","M","SA",42,2.76,"Tympanocryptis lineata"
"AA24466","Kowen",-35.3298497141206,149.341114636883,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24035","Tuggeranong",-35.4371615756928,149.027528077104,"2006","M","A",49,5.42,"Tympanocryptis lineata"
"AA24231","Tuggeranong",-35.4242691391091,149.063086701473,"2009","F","J",37.9,1.73,"Tympanocryptis lineata"
"AA24348","Kowen",-35.3277241410077,149.334370743499,"2013","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24290","Tuggeranong",-35.4486956316883,149.045364882217,"2011","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24036","Tuggeranong",-35.4442401344155,149.061807686716,"2006","M","A",53,5.8,"Tympanocryptis lineata"
"AA24518","Googong",-35.4422746144832,149.237569044819,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24037","Tuggeranong",-35.4372920387156,149.04509023946,"2006","M?","A",50.8,6.32,"Tympanocryptis lineata"
"AA24467","Kowen",-35.3136390893196,149.324396443489,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24038","Tuggeranong",-35.4368546441219,149.03296884454,"2006","F?","A",62.8,6.17,"Tympanocryptis lineata"
"AA24134","Tuggeranong",-35.4503364553352,149.061037752266,"2007","M","SA",41,3.21,"Tympanocryptis lineata"
"AA24135","Tuggeranong",-35.4417765069275,149.045466671266,"2007","M","SA",45,3,"Tympanocryptis lineata"
"AA24136","Tuggeranong",-35.4427127911925,149.057930800778,"2007","F","A",58,6.11,"Tympanocryptis lineata"
"AA24039","Tuggeranong",-35.4523390419196,149.043863326285,"2006","F?","J",35.76666667,1.59,"Tympanocryptis lineata"
"AA24468","Kowen",-35.3299988209591,149.33205205343,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24232","Kowen",-35.3504342410043,149.342088728548,"2009","F","A",53.8,5.69,"Tympanocryptis lineata"
"AA24040","Tuggeranong",-35.4624679343035,149.023385338218,"2006","M","J",36,2.33,"Tympanocryptis lineata"
"AA24041","Tuggeranong",-35.4413616980253,149.042757644012,"2006","F","A",60,8.06,"Tympanocryptis lineata"
"AA24042","Tuggeranong",-35.4450501804409,149.051629606989,"2006","F","SA",43.7,2.6,"Tympanocryptis lineata"
"AA24568","Googong",-35.4436840269889,149.223678205693,"2020","M","A",55,7.1,"Tympanocryptis lineata"
"AA24043","Tuggeranong",-35.4387086887424,149.029194413089,"2006","F","SA",46.5,5.9,"Tympanocryptis lineata"
"AA24137","Tuggeranong",-35.450365219848,149.039820215878,"2007","J",NA,NA,NA,"Tympanocryptis lineata"
